Blades_name,Propellers_brand,Propellers_diameter,Propellers_pitch,Adimensional_chord_c/R,Adimensional_radius_r/R,Beta_angle_relative_to_motion,Radius,Chord
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.16,0.15,31.68,0.6749999999999999,0.72
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.146,0.2,34.45,0.9,0.6569999999999999
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.144,0.25,35.93,1.125,0.6479999999999999
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.143,0.3,33.33,1.3499999999999999,0.6435
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.143,0.35,29.42,1.575,0.6435
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.146,0.4,26.25,1.8,0.6569999999999999
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.151,0.45,23.67,2.025,0.6795
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.155,0.5,21.65,2.25,0.6975
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.158,0.55,20.02,2.475,0.711
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.16,0.6,18.49,2.6999999999999997,0.72
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.159,0.65,17.06,2.9250000000000003,0.7155
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.155,0.7,15.95,3.15,0.6975
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.146,0.75,14.87,3.375,0.6569999999999999
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.133,0.8,13.82,3.6,0.5985
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.114,0.85,12.77,3.8249999999999997,0.513
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.089,0.9,11.47,4.05,0.40049999999999997
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.056,0.95,10.15,4.2749999999999995,0.252
apc29ff 9.0x5.0,apc29ff,9.0,5.0,0.022,1.0,8.82,4.5,0.09899999999999999
apce 10.0x5.0,apce,10.0,5.0,0.13,0.15,32.76,0.75,0.65
apce 10.0x5.0,apce,10.0,5.0,0.149,0.2,37.19,1.0,0.745
apce 10.0x5.0,apce,10.0,5.0,0.173,0.25,33.54,1.25,0.865
apce 10.0x5.0,apce,10.0,5.0,0.189,0.3,29.25,1.5,0.9450000000000001
apce 10.0x5.0,apce,10.0,5.0,0.197,0.35,25.64,1.75,0.9850000000000001
apce 10.0x5.0,apce,10.0,5.0,0.201,0.4,22.54,2.0,1.0050000000000001
apce 10.0x5.0,apce,10.0,5.0,0.2,0.45,20.27,2.25,1.0
apce 10.0x5.0,apce,10.0,5.0,0.194,0.5,18.46,2.5,0.97
apce 10.0x5.0,apce,10.0,5.0,0.186,0.55,17.05,2.75,0.9299999999999999
apce 10.0x5.0,apce,10.0,5.0,0.174,0.6,15.97,3.0,0.8699999999999999
apce 10.0x5.0,apce,10.0,5.0,0.16,0.65,14.87,3.25,0.8
apce 10.0x5.0,apce,10.0,5.0,0.145,0.7,14.09,3.5,0.725
apce 10.0x5.0,apce,10.0,5.0,0.128,0.75,13.39,3.75,0.64
apce 10.0x5.0,apce,10.0,5.0,0.112,0.8,12.84,4.0,0.56
apce 10.0x5.0,apce,10.0,5.0,0.096,0.85,12.25,4.25,0.48
apce 10.0x5.0,apce,10.0,5.0,0.081,0.9,11.37,4.5,0.405
apce 10.0x5.0,apce,10.0,5.0,0.061,0.95,10.19,4.75,0.305
apce 10.0x5.0,apce,10.0,5.0,0.041,1.0,8.99,5.0,0.20500000000000002
apce 10.0x7.0,apce,10.0,7.0,0.138,0.15,37.86,0.75,0.6900000000000001
apce 10.0x7.0,apce,10.0,7.0,0.154,0.2,45.82,1.0,0.77
apce 10.0x7.0,apce,10.0,7.0,0.175,0.25,44.19,1.25,0.875
apce 10.0x7.0,apce,10.0,7.0,0.19,0.3,38.35,1.5,0.95
apce 10.0x7.0,apce,10.0,7.0,0.198,0.35,33.64,1.75,0.99
apce 10.0x7.0,apce,10.0,7.0,0.202,0.4,29.9,2.0,1.01
apce 10.0x7.0,apce,10.0,7.0,0.2,0.45,27.02,2.25,1.0
apce 10.0x7.0,apce,10.0,7.0,0.195,0.5,24.67,2.5,0.9750000000000001
apce 10.0x7.0,apce,10.0,7.0,0.186,0.55,22.62,2.75,0.9299999999999999
apce 10.0x7.0,apce,10.0,7.0,0.174,0.6,20.88,3.0,0.8699999999999999
apce 10.0x7.0,apce,10.0,7.0,0.161,0.65,19.36,3.25,0.805
apce 10.0x7.0,apce,10.0,7.0,0.145,0.7,17.98,3.5,0.725
apce 10.0x7.0,apce,10.0,7.0,0.129,0.75,16.74,3.75,0.645
apce 10.0x7.0,apce,10.0,7.0,0.112,0.8,15.79,4.0,0.56
apce 10.0x7.0,apce,10.0,7.0,0.096,0.85,14.64,4.25,0.48
apce 10.0x7.0,apce,10.0,7.0,0.081,0.9,13.86,4.5,0.405
apce 10.0x7.0,apce,10.0,7.0,0.061,0.95,12.72,4.75,0.305
apce 10.0x7.0,apce,10.0,7.0,0.04,1.0,11.53,5.0,0.2
apce 11.0x10.0,apce,11.0,10.0,0.128,0.15,48.87,0.825,0.704
apce 11.0x10.0,apce,11.0,10.0,0.145,0.2,55.01,1.1,0.7975
apce 11.0x10.0,apce,11.0,10.0,0.163,0.25,51.58,1.375,0.8965000000000001
apce 11.0x10.0,apce,11.0,10.0,0.178,0.3,45.77,1.65,0.979
apce 11.0x10.0,apce,11.0,10.0,0.187,0.35,40.79,1.9249999999999998,1.0285
apce 11.0x10.0,apce,11.0,10.0,0.191,0.4,36.73,2.2,1.0505
apce 11.0x10.0,apce,11.0,10.0,0.191,0.45,33.37,2.475,1.0505
apce 11.0x10.0,apce,11.0,10.0,0.186,0.5,30.57,2.75,1.023
apce 11.0x10.0,apce,11.0,10.0,0.179,0.55,28.18,3.0250000000000004,0.9844999999999999
apce 11.0x10.0,apce,11.0,10.0,0.168,0.6,26.13,3.3,0.924
apce 11.0x10.0,apce,11.0,10.0,0.155,0.65,24.37,3.575,0.8525
apce 11.0x10.0,apce,11.0,10.0,0.141,0.7,22.83,3.8499999999999996,0.7755
apce 11.0x10.0,apce,11.0,10.0,0.125,0.75,21.5,4.125,0.6875
apce 11.0x10.0,apce,11.0,10.0,0.11,0.8,20.22,4.4,0.605
apce 11.0x10.0,apce,11.0,10.0,0.096,0.85,19.22,4.675,0.528
apce 11.0x10.0,apce,11.0,10.0,0.082,0.9,18.26,4.95,0.451
apce 11.0x10.0,apce,11.0,10.0,0.065,0.95,17.57,5.225,0.35750000000000004
apce 11.0x10.0,apce,11.0,10.0,0.047,1.0,16.89,5.5,0.2585
apce 11.0x5.5,apce,11.0,5.5,0.124,0.15,41.11,0.825,0.6819999999999999
apce 11.0x5.5,apce,11.0,5.5,0.146,0.2,41.01,1.1,0.8029999999999999
apce 11.0x5.5,apce,11.0,5.5,0.167,0.25,34.01,1.375,0.9185000000000001
apce 11.0x5.5,apce,11.0,5.5,0.18,0.3,28.76,1.65,0.99
apce 11.0x5.5,apce,11.0,5.5,0.188,0.35,24.78,1.9249999999999998,1.034
apce 11.0x5.5,apce,11.0,5.5,0.19,0.4,21.7,2.2,1.045
apce 11.0x5.5,apce,11.0,5.5,0.189,0.45,19.4,2.475,1.0395
apce 11.0x5.5,apce,11.0,5.5,0.184,0.5,17.65,2.75,1.012
apce 11.0x5.5,apce,11.0,5.5,0.175,0.55,16.19,3.0250000000000004,0.9624999999999999
apce 11.0x5.5,apce,11.0,5.5,0.164,0.6,15.03,3.3,0.902
apce 11.0x5.5,apce,11.0,5.5,0.151,0.65,14.1,3.575,0.8305
apce 11.0x5.5,apce,11.0,5.5,0.136,0.7,13.26,3.8499999999999996,0.748
apce 11.0x5.5,apce,11.0,5.5,0.121,0.75,12.61,4.125,0.6655
apce 11.0x5.5,apce,11.0,5.5,0.105,0.8,12.0,4.4,0.5775
apce 11.0x5.5,apce,11.0,5.5,0.09,0.85,11.34,4.675,0.495
apce 11.0x5.5,apce,11.0,5.5,0.077,0.9,10.55,4.95,0.4235
apce 11.0x5.5,apce,11.0,5.5,0.053,0.95,9.33,5.225,0.2915
apce 11.0x5.5,apce,11.0,5.5,0.029,1.0,8.07,5.5,0.1595
apce 11.0x7.0,apce,11.0,7.0,0.131,0.15,41.81,0.825,0.7205
apce 11.0x7.0,apce,11.0,7.0,0.145,0.2,45.76,1.1,0.7975
apce 11.0x7.0,apce,11.0,7.0,0.161,0.25,41.73,1.375,0.8855000000000001
apce 11.0x7.0,apce,11.0,7.0,0.176,0.3,36.13,1.65,0.968
apce 11.0x7.0,apce,11.0,7.0,0.185,0.35,31.59,1.9249999999999998,1.0175
apce 11.0x7.0,apce,11.0,7.0,0.189,0.4,28.07,2.2,1.0395
apce 11.0x7.0,apce,11.0,7.0,0.189,0.45,25.32,2.475,1.0395
apce 11.0x7.0,apce,11.0,7.0,0.185,0.5,23.02,2.75,1.0175
apce 11.0x7.0,apce,11.0,7.0,0.177,0.55,21.04,3.0250000000000004,0.9734999999999999
apce 11.0x7.0,apce,11.0,7.0,0.167,0.6,19.62,3.3,0.9185000000000001
apce 11.0x7.0,apce,11.0,7.0,0.154,0.65,18.47,3.575,0.847
apce 11.0x7.0,apce,11.0,7.0,0.14,0.7,17.38,3.8499999999999996,0.77
apce 11.0x7.0,apce,11.0,7.0,0.125,0.75,16.28,4.125,0.6875
apce 11.0x7.0,apce,11.0,7.0,0.11,0.8,15.33,4.4,0.605
apce 11.0x7.0,apce,11.0,7.0,0.095,0.85,14.58,4.675,0.5225
apce 11.0x7.0,apce,11.0,7.0,0.081,0.9,13.77,4.95,0.4455
apce 11.0x7.0,apce,11.0,7.0,0.062,0.95,13.05,5.225,0.34099999999999997
apce 11.0x7.0,apce,11.0,7.0,0.043,1.0,12.34,5.5,0.2365
apce 11.0x8.5,apce,11.0,8.5,0.127,0.15,46.08,0.825,0.6985
apce 11.0x8.5,apce,11.0,8.5,0.147,0.2,51.71,1.1,0.8085
apce 11.0x8.5,apce,11.0,8.5,0.164,0.25,46.18,1.375,0.902
